city,country,category,price,url
Alicante,Spain,"Beach, Family, Gastronomy, Nightlife, Romance",Not Available,https://www.flytap.com/en-pt/destinations/spain/alicante
Amsterdam,Netherlands,"Culture, Nightlife, Romance",60€,https://www.flytap.com/en-pt/destinations/netherlands/amsterdam
Barcelona,Spain,"Beach, Family, Culture, Gastronomy, Nightlife",40€,https://www.flytap.com/en-pt/destinations/spain/barcelona
Berlin,Germany,"Culture, Nightlife, Shopping",51€,https://www.flytap.com/en-pt/destinations/germany/berlin
Bilbao,Spain,"Family, Culture, Gastronomy",82€,https://www.flytap.com/en-pt/destinations/spain/bilbao
Bologna,Italy,"Culture, Gastronomy, Nightlife, Romance",61€,https://www.flytap.com/en-pt/destinations/italy/bologna
Brussels,Belgium,"Family, Culture, Gastronomy, Nightlife",38€,https://www.flytap.com/en-pt/destinations/belgium/brussels
City of Luxembourg,Luxembourg,"Culture, Gastronomy, Romance, Shopping",48€,https://www.flytap.com/en-pt/destinations/luxembourg/luxembourg-city
Copenhagen,Denmark,"Adventure, Family, Culture, Gastronomy",84€,https://www.flytap.com/en-pt/destinations/denmark/copenhagen
Dublin,Ireland,"Culture, Gastronomy, Nature, Nightlife",94€,https://www.flytap.com/en-pt/destinations/ireland/dublin
Düsseldorf,Germany,"Family, Culture, Gastronomy, Shopping",79€,https://www.flytap.com/en-pt/destinations/germany/dusseldorf
Faro,Portugal,"Beach, Nature, Nightlife",45€,https://www.flytap.com/en-pt/destinations/portugal/faro
Florence,Italy,"Culture, Gastronomy, Shopping",180€,https://www.flytap.com/en-pt/destinations/italy/florence
Frankfurt,Germany,"Family, Culture, Shopping",62€,https://www.flytap.com/en-pt/destinations/germany/frankfurt
Fuerteventura,Spain,"Beach, Culture, Nature",Not Available,https://www.flytap.com/en-pt/destinations/spain/fuerteventura
Funchal,Portugal,"Nightlife, Beach",26€,https://www.flytap.com/en-pt/destinations/portugal/funchal
Geneva,Switzerland,"Adventure, Culture, Shopping",46€,https://www.flytap.com/en-pt/destinations/switzerland/geneva
Gran Canaria,Spain,"Beach, Family, Nature",80€,https://www.flytap.com/en-pt/destinations/spain/gran-canaria
Hamburg,Germany,"Culture, Nightlife, Romance",89€,https://www.flytap.com/en-pt/destinations/germany/hamburg
Ibiza,Spain,"Beach, Culture, Nature, Nightlife",67€,https://www.flytap.com/en-pt/destinations/spain/ibiza
Lisbon,Portugal,"Family, Culture, Nightlife, Romance",Not Available,https://www.flytap.com/en-pt/destinations/portugal/lisbon
London,United Kingdom,"Culture, Gastronomy, Romance, Shopping",62€,https://www.flytap.com/en-pt/destinations/united-kingdom/london
Lyon,France,"Culture, Gastronomy, Nightlife, Shopping",55€,https://www.flytap.com/en-pt/destinations/france/lyon
Madrid,Spain,"Adventure, Family, Culture, Gastronomy, Nightlife",31€,https://www.flytap.com/en-pt/destinations/spain/madrid
Málaga,Spain,"Beach, Culture, Gastronomy, Nature",80€,https://www.flytap.com/en-pt/destinations/spain/malaga
Manchester,United Kingdom,"Culture, Nature",46€,https://www.flytap.com/en-pt/destinations/united-kingdom/manchester
Marseille,France,"Beach, Family, Culture, Gastronomy",49€,https://www.flytap.com/en-pt/destinations/france/marseille
Milan,Italy,"Culture, Gastronomy, Shopping, Snow",53€,https://www.flytap.com/en-pt/destinations/italy/milan
Munich,Germany,"Adventure, Culture, Gastronomy, Nightlife",58€,https://www.flytap.com/en-pt/destinations/germany/munich
Naples,Italy,"Culture, Gastronomy, Nature, Romance",78€,https://www.flytap.com/en-pt/destinations/italy/naples
Nice,France,"Beach, Gastronomy, Nature",54€,https://www.flytap.com/en-pt/destinations/france/nice
Oslo,Norway,"Family, Romance, Snow",87€,https://www.flytap.com/en-pt/destinations/norway/oslo
Paris,France,"Culture, Gastronomy, Romance, Shopping",44€,https://www.flytap.com/en-pt/destinations/france/paris
Ponta Delgada,Portugal,"Adventure, Culture, Romance",74€,https://www.flytap.com/en-pt/destinations/portugal/ponta-delgada
Porto,Portugal,"Culture, Gastronomy, Nightlife, Romance",45€,https://www.flytap.com/en-pt/destinations/portugal/porto
Porto Santo,Portugal,"Adventure, Beach, Romance",131€,https://www.flytap.com/en-pt/destinations/portugal/porto-santo
Prague,Czech Republic,"Culture, Gastronomy, Romance, Shopping",209€,https://www.flytap.com/en-pt/destinations/czech-republic/prague
Rome,Italy,"Culture, Gastronomy, Romance, Shopping",50€,https://www.flytap.com/en-pt/destinations/italy/rome
Seville,Spain,"Adventure, Family, Culture",87€,https://www.flytap.com/en-pt/destinations/spain/seville
Stockholm,Sweden,"Adventure, Family, Culture",84€,https://www.flytap.com/en-pt/destinations/sweden/stockholm
Tel Aviv,Israel,"Adventure, Beach, Nature",183€,https://www.flytap.com/en-pt/destinations/israel/tel-aviv
Tenerife,Spain,"Adventure, Beach",59€,https://www.flytap.com/en-pt/destinations/spain/tenerife
Terceira,Portugal,"Beach, Nature",40€,https://www.flytap.com/en-pt/destinations/portugal/terceira
Toulouse,France,"Culture, Gastronomy",49€,https://www.flytap.com/en-pt/destinations/france/toulouse
Valencia,Spain,"Culture, Gastronomy, Nature",50€,https://www.flytap.com/en-pt/destinations/spain/valencia
Venice,Italy,"Culture, Gastronomy, Romance",98€,https://www.flytap.com/en-pt/destinations/italy/venice
Vienna,Austria,"Family, Culture, Romance",50€,https://www.flytap.com/en-pt/destinations/austria/vienna
Warsaw,Poland,"Family, Culture, Gastronomy",84€,https://www.flytap.com/en-pt/destinations/poland/warsaw
Zagreb,Croatia,"Culture, Gastronomy, Nightlife, Romance",Not Available,https://www.flytap.com/en-pt/destinations/croatia/zagreb
Zurich,Switzerland,"Culture, Gastronomy, Shopping",58€,https://www.flytap.com/en-pt/destinations/switzerland/zurich
